genename	wt-1	wt-2	wt-3	mpl-1	mpl-2	mpl-3	wt	mpl
rhlR	110.24	102.17	121.55	126.34	254.81	138.19	111.32	173.1133333
ampC	36.51	40.62	48.64	337.39	332.4	363.08	41.92333333	344.29
rhlB	123.6	93	163.9	144.1	328.37	196.55	126.8333333	223.0066667
rhlI	118.94	80.32	144.98	113.61	174.07	129.52	114.7466667	139.0666667
lecA	65.7	36.55	61.45	64.01	178.74	60.74	54.56666667	101.1633333
phzA-B	51.82	15.45	98.08	46.59	99.12	53.87	55.11666667	66.52666667
lecB	1139.51	844.4	1180.74	1050.87	2276.9	1235	1054.883333	1520.923333
lasA	195.31	206.16	220.3	191.15	683.3	317.3	207.2566667	397.25
secE	119.58	117.84	172.12	290.09	182.14	264.39	136.5133333	245.54
phzC2	163.49	135.64	146.81	136.52	227.22	130.65	148.6466667	164.7966667
phzC1	379.63	232.63	266.61	246.29	460.91	283.34	292.9566667	330.18
pqsC	70.18	62.2	91.98	61.1	89.83	74.77	74.78666667	75.23333333
pqsB	154.43	171.81	217.04	142.89	256.15	183.88	181.0933333	194.3066667
pqsA	67.37	66.8	112.69	68.38	105.6	85.98	82.28666667	86.65333333
pqsE	99.91	92.4	138.91	102.22	129.05	118.16	110.4066667	116.4766667
rhlA	310.44	287.36	338.66	358.35	921.22	414.77	312.1533333	564.78
plcH	12.51	1.18	34.73	0.78	0.92	0.89	16.14	0.863333333
PA4804	27.54	6.83	49.73	3.35	5.44	3.72	28.03333333	4.17
PA0222	17.72	0.87	39.74	0.39	0.57	0.27	19.44333333	0.41
PA4910	17.7	3.45	41.49	1.5	1.68	2.29	20.88	1.823333333
PA4912	12.09	1.56	36.4	0.72	0.79	0.95	16.68333333	0.82
plcN	16.13	1.51	40.44	0.96	1.75	1.64	19.36	1.45
PA4911	21.08	0.97	44.32	0.63	0.97	1.11	22.12333333	0.903333333
PA0605	13.4	4.94	38.34	3.1	3.55	2.69	18.89333333	3.113333333
PA0034	18.68	1.01	42.74	0.66	0.97	2.09	20.81	1.24
trpl	26.13	6.63	56.86	3.5	4.13	4.49	29.87333333	4.04
PA0491	20.66	3.28	44.3	2.14	2.66	2.13	22.74666667	2.31
opmQ	19.57	3.34	43.11	1.98	2.78	2.25	22.00666667	2.336666667
rocsS2	17.85	4.83	39.14	2.57	3.84	2.7	20.60666667	3.036666667
opmE	18.7	1.11	42.48	0.9	1.28	0.95	20.76333333	1.043333333
mexQ	16.57	1.28	41.89	0.95	1.14	0.72	19.91333333	0.936666667
rocS1	13.94	1.93	37.57	1.35	1.92	1.28	17.81333333	1.516666667
pilS	14.7	1.1	36.44	0.45	0.79	0.56	17.41333333	0.6
oprJ	19	3.37	45.81	1.77	2.79	2.85	22.72666667	2.47
mexD	16.44	3.66	43.03	1.74	2.25	1.82	21.04333333	1.936666667
mexC	23.42	11.05	47.81	3.56	3.49	3.36	27.42666667	3.47
PA4982	20.46	1.9	46.04	1.17	1.73	1.15	22.8	1.35
PA5293	19.52	3.55	47.62	2.49	3.55	2.4	23.56333333	2.813333333
PA5542	18.79	3.72	49.04	1.84	2.49	1.82	23.85	2.05
