SampleID,T4,T6,T8,TI
TC-012,93.33333333,95.83333333,100,48
TC-031,95.83333333,97.5,100,37.67
TC-038,91.66666667,95.83333333,100,22.67
TC-004,95,99.16666667,100,34
TC-026,94.16666667,97.5,100,58
TC-006,89.16666667,96.66666667,100,46
TC-043,86.66666667,95.83333333,100,42
TC-013,85,99.16666667,100,62.67
TC-011,95.83333333,98.33333333,100,67.33
TC-042,95.83333333,97.5,100,56
TC-035,97.5,99.16666667,100,60.67
TC-007,82.5,93.33333333,100,54
TC-051,62.5,65,65,18.67
TC-003,21.66666667,41.66666667,70,27.33
TC-021,78.33333333,86.66666667,93.33333333,40
TC-020,85.83333333,90.83333333,100,51.33
TC-023,98.33333333,100,100,62
TC-027,80,92.5,100,30.67
TC-008,95,99.16666667,100,68
TC-041,94.16666667,97.5,100,60.67
TC-009,38.33333333,97.5,100,48.33
TC-017,50,89.16666667,100,62
TC-002,33.33333333,36.66666667,100,43.67
TC-029,77.5,90,100,56.33
TC-028,60,93.33333333,100,32.67
TC-018,75,80.83333333,100,43.33
TC-030,49.16666667,57.5,75,33
TC-001,51.66666667,55,100,38.67
TC-005,76.66666667,79.16666667,100,49
TC-033,81.66666667,100,100,40.33
TC-010,73.33333333,89.16666667,100,60.33
TC-015,96.66666667,97.5,100,61
TC-016,61.66666667,91.66666667,100,48.33
TC-039,75.83333333,91.66666667,100,52.33
TC-036,93.33333333,95,95,37
TC-034,100,100,100,59.33
TC-022,87.5,95.83333333,100,52
TC-014,90.83333333,93.33333333,95,47.33
TC-037,75.83333333,96.66666667,100,53.67
TC-019,83.33333333,83.33333333,83.33333333,26.33
